Name,Link,Buy Now Links,Detail Link
Pixel 3,1W7e3hJjblQf0L0XfddTfY1dk1PDO9OTT,https://www.flipkart.com/google-pixel-3-clearly-white-64-gb/p/itmfbuyqxkruzg7j?pid=MOBF9GAPM7YHP9PZ&lid=LSTMOBF9GAPM7YHP9PZIQ5GBG&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=1a70209c-6a51-4f66-b91e-75e459ae2012.MOBF9GAPM7YHP9PZ.SEARCH&ppt=sp&ppn=sp&ssid=0jiu4l0hgw0000001599478964880&qH=8d95b1037b09443c,
Pixel 3a,1L-1rJEtoHgbizNflfQeEeu13MCtjHy66,https://www.flipkart.com/google-pixel-3a-clearly-white-64-gb/p/itmfgk4jfgstaack?pid=MOBFFGFPJSCEXMSG&lid=LSTMOBFFGFPJSCEXMSGODGRZE&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=9e432777-6b50-4095-bc52-cd3a89db03ea.MOBFFGFPJSCEXMSG.SEARCH&ppt=sp&ppn=sp&ssid=cy8ntf4i8g0000001599479013802&qH=5adb9495cc91f1c5,
Vivo Z1x,1CFPz9kj4iWkmXJhi1JQBHY7NiZtRSO47,https://www.flipkart.com/google-pixel-3a-clearly-white-64-gb/p/itmfgk4jfgstaack?pid=MOBFFGFPJSCEXMSG&lid=LSTMOBFFGFPJSCEXMSGODGRZE&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=9e432777-6b50-4095-bc52-cd3a89db03ea.MOBFFGFPJSCEXMSG.SEARCH&ppt=sp&ppn=sp&ssid=cy8ntf4i8g0000001599479013802&qH=5adb9495cc91f1c5,
Vivo V19,1tr_dwSoJar1zK9qDF1U5NNk3WOfXLoNX,https://amzn.to/3jTpoVp,
Vivo X50 Pro,1h0wcLPy8eFr9bntARAabQF8elbe8TUEt,https://amzn.to/3271IqC,
Vivo X50,190BUZCT0VXC_krODdR6NNR32L4wEelPl,https://amzn.to/3bxWszi,
Poco M2 pro,1NUV0KfrH_LUKx6o0FSrpDPvQ2id1NdVa,https://www.flipkart.com/poco-m2-pro-out-blue-64-gb/p/itmca92df4f824d5?pid=MOBFT7MKV4EZTNRS&lid=LSTMOBFT7MKV4EZTNRSZ0PYA3&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=ac1895ad-647a-4002-ba9d-e17c55d20339.MOBFT7MKV4EZTNRS.SEARCH&ppt=sp&ppn=sp&ssid=mbmfcrxnls0000001599479068204&qH=b83349d0f5338c62,
Poco X2,1PLaZKBQjWawrAh59BPC6ffeBEeLbBJrs,https://www.flipkart.com/poco-x2-atlantis-blue-64-gb/p/itmbe7b58e0378b8?pid=MOBFZGJ6ZGMD7GEZ&lid=LSTMOBFZGJ6ZGMD7GEZAOQLPQ&marketplace=FLIPKART&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&fm=SEARCH&iid=24de6df6-0484-4566-bfc9-9e192eb5c2ee.MOBFZGJ6ZGMD7GEZ.SEARCH&ppt=sp&ppn=sp&ssid=emjizeejkg0000001599479075354&qH=4e0be2db3051d600,
Motorola Razr,18PVUBmWEML47YRDyQK2tRVOOzP49VBWf,https://amzn.to/2GDTTR1,
Motorola Edge Plus,1H4EuhWPgNqOC1cM6vCGbZgWByF1Bi1gp,https://amzn.to/2Zh2YFP,
Moto G8 Power Lite,1xmBnEEkY9fXQRGckL1Zvx_fGxRxPVwmJ,https://www.flipkart.com/motorola-g8-power-lite-royal-blue-64-gb/p/itm8a408329ff3d2?pid=MOBFZ5EXNSGJJ2ZR&lid=LSTMOBFZ5EXNSGJJ2ZRBFFMHB&marketplace=FLIPKART&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&fm=SEARCH&iid=755c6da5-4ca0-402b-85f2-c1d9f97aea73.MOBFZ5EXNSGJJ2ZR.SEARCH&ppt=sp&ppn=sp&ssid=0klpygchhs0000001599478781700&qH=c7b38449af1e8e16,
Moto G9,18-5sdi82xOEZDmVxjxlJtFVXXjFLKGzQ,https://www.flipkart.com/motorola-g9-sapphire-blue-64-gb/p/itm483cb18471531?pid=MOBFTYWWS6RYZRZH&lid=LSTMOBFTYWWS6RYZRZHHL0ZN0&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=2e6cafc6-98f2-499b-a9a9-85ed1d02bd5b.MOBFTYWWS6RYZRZH.SEARCH&ppt=sp&ppn=sp&ssid=r2olgo6p8w0000001599478800914&qH=cfb48860baeafcfa,
Moto One fusion plus,1SKie3OFHeO6hQv2bklL0WY_6XyDwvgpj,https://www.flipkart.com/motorola-one-fusion-twilight-blue-128-gb/p/itm9c0e4b9b56acd?pid=MOBFRFXHZRMXDDNZ&lid=LSTMOBFRFXHZRMXDDNZW6P8X2&marketplace=FLIPKART&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&fm=SEARCH&iid=e3002294-e23f-4c68-8602-3286442864fe.MOBFRFXHZRMXDDNZ.SEARCH&ppt=sp&ppn=sp&ssid=0d754owxbk0000001599478816188&qH=d8c6069692fd5709,
Samsung Galaxy Fold,1zd4aEr0LGSgvTmKGrkjdwDhIShUKOejh,https://www.samsung.com/in/smartphones/galaxy-z-fold2/?cid=in_pd_ppc_google_flagship-hhp_pre-reg_f2h20-z_text_20200831_11002338169-108910434180-z%20fold%202-461051311820-1ur-5017l,
Samsung Galaxy Z Flip,1UvlKd0ZRhlE5w3wWmVXJUOGI_o6udHM3,https://amzn.to/3m0GORO,
Samsung Note 20 Ultra,1cuIOt2F9FbyaiOotAV9-lxns7WaV6M6I,https://amzn.to/3jQSN2A,
Samsung Note 20,14A9PN2Jgrhwhh4h2m_sxTwEvH1fgZVjr,https://amzn.to/334jPwF,
Samsung S20 Ultra,1Oa10oSw2KpSZ4ry1_qrFUKc6jxAYjkDo,https://amzn.to/3k6urCj,
Samsung S20 Plus,1LXC8p3u6KddigqZ2Fil-pnDvrw8wKi3Z,https://amzn.to/325FmWr,
Samsung S20,1NiNLDWz1BVbRvsVycvUNum1DtdgH39jO,https://amzn.to/35bwQHl,
Samsung Note 10 Plus,1ALRXFD0pjAvdgG55JJ1ZBysrHI-hQOpI,https://www.flipkart.com/samsung-galaxy-note-10-plus-aura-glow-256-gb/p/itm89ffb43fc7a18?pid=MOBFJFWVVMDNSFCF&lid=LSTMOBFJFWVVMDNSFCFUCSPAP&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=4529ec9d-3a6e-4aee-a998-4b0597a8ac72.MOBFJFWVVMDNSFCF.SEARCH&ppt=sp&ppn=sp&ssid=pod5ffqyz40000001599477308614&qH=6968ac67a8722c62,
Samsung Note 10,1i3jw9lBS7uryi9HfvyfzC6G-aSSlXokc,https://amzn.to/3lVuXod,
Samsung S10 Plus,1gNrpnpjpQWWb-bnajodV9oCb5q_YXHvu,https://amzn.to/2R07J1R,
Samsung S10,1hbXPQeMgXeamW0SimvJFuT9-eQnN17s_,https://amzn.to/2GuDs9s,
Samsung Note 10 Lite,1g-4MN3BvbewgnhRSm64pjV0-vSNLlITk,https://amzn.to/32Yntbe,
Samsung S10 Lite,1zm-NDK12SkF57U27m309Gm7Xu2SkAVPt,https://www.flipkart.com/samsung-galaxy-s10-lite-prism-black-128-gb/p/itm284b16d93b2f1?pid=MOBFZ8HTN4F7HHSV&lid=LSTMOBFZ8HTN4F7HHSVBUHMR2&marketplace=FLIPKART&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=SEARCH&iid=35551027-8202-45d4-bf86-d7002c9ad0f8.MOBFZ8HTN4F7HHSV.SEARCH&ppt=sp&ppn=sp&ssid=apvp579t9s0000001599476848821&qH=fa606bef6e177940,
Samsung Galaxy M31S,1fRrR3ZoykJj8z6eEZqF0eBRGy1E_Fd8Z,https://amzn.to/35eJ1mH,
Samsung Galaxy M01,13HLe7FCTC4088rxUsT1Seqhnem1Gv7U9,https://amzn.to/3lYHfME,
Samsung Galaxy M11,1tz2HrDgbq9cAM3HDiHDG-9TyjVkrHlUF,https://amzn.to/3398FXH,
Samsung Galaxy M31,10DfSKGarOuZHJ3LUjKD5mL4Nc0uSijl3,https://amzn.to/3jSRwYP,
Samsung Galaxy M21,1jdDdlbaOWrCUH-eo2E4C243wbTsQCBuj,https://amzn.to/3ibOWg8,
Samsung Galaxy A21S,17A0PzGPStGmUXg_CPNWw_RnaPlKDM2cT,https://amzn.to/2ZeQFK4,
Samsung Galaxy A31,1z8xCCcJihMLdZ4SVhvg4GVv93K5albtY,https://amzn.to/339nBos,
Samsung Galaxy A51,1rAfouR83ESXtOpLvJZ_KkKWg3NTfM1OH,https://amzn.to/3lUq1zY,
Samsung Galaxy A71,1fFd5bxQLcfo3QLzkhjRwASRk72BfdXeM,https://amzn.to/2F6Md9l,
