"oem","model","network_technology","network_2g_bands","network_gprs","network_edge","launch_announced","launch_status","body_dimensions","body_weight","body_sim","display_type","display_size","display_resolution","display","memory_card_slot","memory_phonebook","memory_call_records","sound_loudspeaker","sound_alert_types","sound_3.5mm_jack","comms_wlan","comms_bluetooth","comms_gps","comms_radio","comms_usb","features_sensors","features_messaging","features_browser","features_clock","features_alarm","features_games","features_java","features","misc_colors","network_3g_bands","network_speed","platform_os","platform_chipset","platform_cpu","platform_gpu","memory_internal","main_camera_single","main_camera_video","misc_price","main_camera_features","body","network_4g_bands","body_build","display_protection","memory","main_camera_dual","selfie_camera_dual","selfie_camera_features","selfie_camera_video","comms_nfc","battery_charging","misc_models","tests_performance","tests_camera","tests_loudspeaker","tests_audio_quality","tests_battery_life","tests_display","selfie_camera_single","comms_infrared_port","network_5g_bands","main_camera_quad","main_camera_triple","sound","misc_sar_eu","main_camera_five","features_languages","body_keyboard","misc_sar","battery","main_camera_dual_or_triple","battery_music_play","selfie_camera_triple","main_camera_v1","selfie_camera","camera","main_camera","network","battery_talk_time","battery_stand.by"
"NEC","DB2000","GSM","GSM 900 / 1800","No","No","1999","Discontinued","131 x 41 x 19 mm, 100 cc (5.16 x 1.61 x 0.75 in)","130 g (4.59 oz)","Mini-SIM","Alphanumeric",,"4 x 12 chars","Fixed icons","No",,"5 dialed, 5 received, 5 missed calls","No","Vibration; Monophonic ringtones","No","No","No","No","No",,"V1","SMS",,"Yes","Yes","No","No","Organizer  Scratchpad","Metallic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17",,,"Removable Li-Ion battery",,,,,,"No",,,"200 - 480 min","150 - 300 h"
"NEC","DB500","GSM","GSM 900 / 1800","No","No","1999","Discontinued","134 x 48 x 26 mm, 120 cc (5.28 x 1.89 x 1.02 in)","135 g (4.76 oz)","Mini-SIM","Alphanumeric",,"4 x 12 chars","Fixed icons","No",,"5 dialed, 5 received, 5 missed calls","No","Vibration; Monophonic ringtones","No","No","No","No","No",,"V1","SMS",,"Yes","Yes","No","No","Organizer  Scratchpad  Interchangeable front covers","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17",,,"Removable NiMH battery",,,,,,"No",,,"120 - 400 min","130 - 150 h"
"Neonode","N2","GSM","GSM 850 / 900 / 1800 / 1900","Yes","No","2007, February","Discontinued","77 x 47 x 14.7 mm (3.03 x 1.85 x 0.58 in)","70 g (2.47 oz)","Mini-SIM","TFT touchscreen, 65K colors","2.0 inches, 12.6 cm (~34.8% screen-to-body ratio)","176 x 220 pixels (~141 ppi density)",,"miniSD, 1 GB included","Yes, Photo call",,"Yes","Vibration; Polyphonic, MP3 ringtones","No","No","Yes","No","No","Proprietary","V1","SMS, MMS","WAP 2.0/xHTML, HTML",,,"Yes","No","MP3/WMA/MPEG/WMV player  Calculator  Task manager  Stereo sound in headphones","Black",,,,,,,,"2 MP","No","About 410 EUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Removable Li-Ion battery",,,,,"No",,,,"Up to 4 h","Up to 200 h"
"NIU","Andy C5.5E2I","GSM / UMTS","GSM 850 / 900 / 1800 / 1900","Yes","Yes","2015, December","Available. Released 2016, March","154.5 x 79 x 9.2 mm (6.08 x 3.11 x 0.36 in)","128 g (4.52 oz)","Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~68.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 64 GB (dedicated slot)",,,"Yes",,"Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, LE","Yes, with A-GPS","Stereo FM radio","microUSB 2.0","Accelerometer, proximity",,,,,,,,"Blue, Gun Metal","UMTS 850 / 1900 - AC55E2I043","HSPA 21.1/5.76 Mbps","Android 4.4 (KitKat)","Mediatek MT6582M (28 nm)","Quad-core 1.3 GHz Cortex-A7","Mali-400","4 GB, 512 MB RAM","8 MP, AF","1080p@30fps",,"LED flash, panorama, HDR",,,,,,,,,,,,,,,,,,,"1.3 MP",,,,,,,,,,,"Removable Li-Po 3000 mAh battery",,,,,,,,,"Up to 22 h 10 min (2G) / Up to 18 h 30 min (3G)","Up to 600 h (2G) / Up to 500 h (3G)"
"NIU","Andy 3.5E2I","GSM / UMTS / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Class 12","Class 12","2015, February","Available. Released 2015, March","115.5 x 62.8 x 10.7 mm (4.55 x 2.47 x 0.42 in)","102 g (3.60 oz)","Dual SIM (Mini-SIM/ Micro-SIM)","LCD capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm (~50.3% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 64 GB",,,"Yes",,"Yes","Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS","Stereo FM radio","microUSB 2.0","Accelerometer",,,,,,,,"Black, White, Blue, Green, Orange","UMTS 850 / 1900 - AM35E2I043","HSPA 21.1/5.76 Mbps","Android 4.4 (KitKat)","Mediatek MT6572M (28 nm)","Dual-core 1.0 GHz Cortex-A7","Mali-400","4 GB, 512 MB RAM","5 MP","480p@30fps",,"LED flash, panorama",,,,,,,,,,,,,,,,,,,"1.3 MP",,,,,,,,,,,"Removable Li-Ion 1300 mAh battery",,,,,,,,"HSDPA 900 / 2100 - AM35E2I047","Up to 18 h (2G) / Up to 8 h (3G)","Up to 260 h (2G) / Up to 217 h (3G)"
"NIU","Andy 4E2I","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Class 12","Class 12","2015, January","Available. Released 2015, March","121 x 64.6 x 10.7 mm (4.76 x 2.54 x 0.42 in)","110 g (3.88 oz)","Dual SIM (Mini-SIM/ Micro-SIM)","TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm (~58.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"microSD, up to 64 GB",,,"Yes",,"Yes","Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS","Stereo FM radio","microUSB 2.0","Accelerometer",,,,,,,,"Black, White, Red, Blue, Yellow","HSDPA 900 / 2100 - AM4E2I047","HSPA 21.1/5.76 Mbps","Android 4.4 (KitKat)","Mediatek MT6572M (28 nm)","Dual-core 1.0 GHz Cortex-A7","Mali-400","4 GB, 512 MB RAM","5 MP","480p@30fps",,"LED flash, panorama",,,,,,,,,,,,,,,,,,,"1.3 MP",,,,,,,,,,,"Removable Li-Ion 1400 mAh battery",,,,,,,,"HSDPA 850 / 1900 - AM4E2I043","Up to 18 h (2G) / Up to 9 h (3G)","Up to 280 h (2G) / Up to 232 h (3G)"
"NIU","Andy 5EI","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Class 12","Class 12","2014, May","Available. Released 2014, July","142.8 x 73.4 x 9.5 mm (5.62 x 2.89 x 0.37 in)","160 g (5.64 oz)","Dual SIM (Mini-SIM/ Micro-SIM)","TFT capacitive touchscreen, 256K colors","5.0 inches, 68.9 cm (~65.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"microSD, up to 64 GB",,,"Yes",,"Yes","Wi-Fi 802.11 a/b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS","Stereo FM radio","microUSB 2.0","Accelerometer, proximity",,,,,,,,"Black, White, Red, Blue, Green","HSDPA 900 / 2100 - SIM 1 or SIM 2","HSPA 21.1/5.76 Mbps","Android 4.2 (Jelly Bean)","Mediatek MT6572M (28 nm)","Dual-core 1.0 GHz Cortex-A7","Mali-400","4 GB, 512 MB RAM","5 MP","480p@30fps",,"LED flash",,,,,,,,,,,,,,,,,,,"1.3 MP",,,,,,,,,,,"Removable Li-Ion 1550 mAh battery",,,,,,,,"HSDPA 850 / 2100 - SIM 1 or SIM 2","Up to 16 h (2G) / Up to 7 h 30 min (3G)","Up to 480 h (2G) / Up to 350 h (3G)"
"NIU","Andy 5T","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Class 12","Class 12","2014, July","Available. Released 2014, August","144 x 69.7 x 6.9 mm (5.67 x 2.74 x 0.27 in)","123 g (4.34 oz)","Dual SIM (Mini-SIM/ Micro-SIM)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 256 GB",,,"Yes",,"Yes","Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS","Stereo FM radio","microUSB 2.0","Accelerometer, proximity, compass",,,,,,,,"White, Black, Blue, Red","HSDPA 850 / 1900 - SIM 1 or SIM 2","HSPA 21.1/5.76 Mbps","Android 4.4.2 (KitKat)","Mediatek MT6582 (28 nm)","Quad-core 1.3 GHz Cortex-A7","Mali-400MP2","4 GB, 1 GB RAM","13 MP, AF","1080p@30fps",,"LED flash, HDR",,,,,,,,,,,,,,,,,,,"5 MP",,,,,,,,,,,"Non-removable Li-Po 1800 mAh battery",,,,,,,,"HSDPA 900 / 2100 - SIM 1 or SIM 2","Up to 16 h (2G) / Up to 8 h 30 min (3G)","Up to 480 h (2G) / Up to 360 h (3G)"
"NIU","C21A","GSM","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - CM21A003","Up to 48 kbps","No","2013, March. Released 2013, April","Discontinued","106 x 45 x 14.5 mm (4.17 x 1.77 x 0.57 in)","73 g without battery (2.57 oz)","Dual SIM (Mini-SIM)","TFT, 256K colors","1.8 inches, 10.2 cm (~21.4% screen-to-body ratio)","128 x 160 pixels (~114 ppi density)",,"microSD, up to 32 GB","Yes","Yes","Yes",,"No","No","2.0","No","Stereo FM radio","microUSB","V1","SMS, IM",,,,"No","No","Video Player  Music Player  Organizer  Whatsapp","Black, White, Blue, Green, Purple, Red, Fuchsia",,,,,,,"32 Mbit + 32 Mbit","VGA","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Removable Li-Ion 600 mAh battery",,,,,"No",,,,"Up to 4 h","Up to 200 h"
"NIU","F10","GSM","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3","Up to 48 kbps","No","2012, November. Released 2013, April","Discontinued","102 x 59 x 13.7 mm (4.02 x 2.32 x 0.54 in)","72 g without battery (2.54 oz)","Triple SIM (Mini-SIM)","TFT, 65K colors","2.2 inches, 15.2 cm (~25.3% screen-to-body ratio)","220 x 176 pixels (~128 ppi density)",,"microSD, up to 32 GB (dedicated slot)","Yes","Yes","Yes",,"Yes","No","2.1, A2DP","No","Stereo FM radio","microUSB","V1","SMS",,,,"Yes","No","Analog TV  Video Player  Music Player  Organizer","Black, Blue, Red, White",,,,,,,"64 Mb + 32 Mb","1.3 MP","Yes",,,"Flashlight",,,,,,,,,,,,,,,,,,,,,,,,,,,"QWERTY",,"Removable Li-Ion 600 mAh battery",,,,,"No",,,,"Up to 5 h 30 min","Up to 400 h"
"NIU","Z10","GSM","GSM 850 / 900 / 1800 / 1900 - SIM 1","Up to 48 kbps","No","2013, November","Available. Released 2014, January","113.2 x 55.5 x 14.5 mm (4.46 x 2.19 x 0.57 in)","90 g without battery (3.17 oz)","Dual SIM (Mini-SIM)","TFT, 65K colors","2.0 inches, 12.6 cm (~20.1% screen-to-body ratio)","144 x 176 pixels (~114 ppi density)",,"microSD, up to 32 GB","Yes","Yes","Yes",,"No","No","2.1","No","Stereo FM radio; buit-in antenna","microUSB","V1","SMS, MMS",,,,"Yes","No","Music/Video player  Organizer  Calendar  Calculator  Voice memo","Black, White, Blue",,,,,,,"32 Mb + 32 Mb","VGA","Yes",,,"Flashlight  SOS button",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Removable Li-Ion 1000 mAh battery",,,,,"No",,,"GSM 850 / 900 / 1800 / 1900 - SIM 2","Up to 7 h","Up to 290 h"
"NIU","Tek 5D","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Class 12","Class 12","2015, January","Available. Released 2015, February","156.3 x 74.2 x 9.3 mm (6.15 x 2.92 x 0.37 in)","150 g (5.29 oz)","Dual SIM (Mini-SIM/ Micro-SIM)","TFT capacitive touchscreen, 256K colors","5.0 inches, 44.1 cm (~38.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~245 ppi density)",,"microSD, up to 64 GB",,,"Yes",,"Yes","Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS","Stereo FM radio","microUSB 2.0","Accelerometer, proximity",,,,,,,,"Black","HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM5DI043","HSPA 21.1/5.76 Mbps","Android 4.4.2 (KitKat)","Mediatek MT6572M (28 nm)","Dual-core 1.0 GHz Cortex-A7","Mali-400","4 GB, 512 MB RAM","5 MP","480p@30fps",,"LED flash",,,,,,,,,,,,,,,,,,,"1.3 MP",,,,,,,,,,,"Removable Li-Ion 2000 mAh battery",,,,,,,,,"Up to 15 h (2G) / Up to 12 h (3G)","Up to 400 h (2G) / Up to 332 h (3G)"
"NIU","Tek 4D2","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Class 12","Class 12","2014, August","Available. Released 2014, November","123 x 63 x 10.3 mm (4.84 x 2.48 x 0.41 in)","152 g (5.36 oz)","Dual SIM (Mini-SIM/ Micro-SIM)","Capacitive touchscreen","4.0 inches, 45.5 cm (~58.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"microSD, up to 64 GB",,,"Yes",,"Yes","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS","Stereo FM radio","microUSB 2.0","Accelerometer",,,,,,,,"Black, Gray, White, Blue, Orange","HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM4D2I043","HSPA 21.1/5.76 Mbps","Android 4.4.2 (KitKat)","Mediatek MT6572M (28 nm)","Dual-core 1.0 GHz Cortex-A7","Mali-400","4 GB, 512 MB RAM","3.15 MP","480p@30fps",,"LED flash, panorama",,,,,,,,,,,,,,,,,,,"1.3 MP",,,,,,,,,,,"Removable Li-Ion 1200 mAh battery",,,,,,,,,"Up to 8 h (2G) / Up to 6 h (3G)","Up to 400 h (2G) / Up to 320 h (3G)"
"NIU","Niutek 3.5D2","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Class 12","Class 12","2014, August","Available. Released 2014, October","116 x 61 x 11.5 mm (4.57 x 2.40 x 0.45 in)","98 g (3.46 oz)","Dual SIM (Mini-SIM/ Micro-SIM)","TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm (~51.5% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 64 GB",,,"Yes",,"Yes","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","3.0, A2DP","Yes, with A-GPS","Stereo FM radio","microUSB 2.0","Accelerometer",,,,,,,,"Black, White, Blue, Green, Red","HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM35D2H043","HSPA 21.1/5.76 Mbps","Android 4.2 (Jelly Bean)","Mediatek MT6572M (28 nm)","Dual-core 1.0 GHz Cortex-A7","Mali-400","2 GB, 256 MB RAM","2 MP","480p@30fps",,"LED flash, panorama",,,,,,,,,,,,,,,,,,,"VGA",,,,,,,,,,,"Removable Li-Ion 1200 mAh battery",,,,,,,,,"Up to 8 h (2G) / Up to 6 h (3G)","Up to 400 h (2G) / Up to 320 h (3G)"
"NIU","GO 21","GSM","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Up to 48 kbps","No","2014, May","Available. Released 2014, June","105 x 44.9 x 14.2 mm (4.13 x 1.77 x 0.56 in)","66 g (2.33 oz)","Dual SIM (Mini-SIM)","TFT, 65K colors","1.8 inches, 10.2 cm (~21.6% screen-to-body ratio)","128 x 160 pixels (~114 ppi density)",,"microSD, up to 32 GB","Yes","Yes","Yes",,"Yes","No","2.1, EDR","No","Stereo FM radio","microUSB 2.0","V1","SMS, MMS, IM",,,,"Yes","No","Whatsapp messenger  Video/music player  Organizer  Predictive text input","Black, Orange, Gray, Red, Green, Blue",,,,,,,"32 Mbit + 32 Mbit","VGA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Removable Li-Ion 650 mAh battery",,,,,"No",,,,"Up to 6 h","Up to 200 h"
"NIU","Niutek 4.5D","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Class 12","Class 12","2013, December","Available. Released 2014, January","137.6 x 68 x 10.4 mm (5.42 x 2.68 x 0.41 in)","139 g (4.90 oz)","Dual SIM (Mini-SIM)","TFT capacitive touchscreen, 256K colors","4.5 inches, 55.8 cm (~59.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,"Yes",,"Yes","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","3.0, A2DP","Yes, with A-GPS","Stereo FM radio","microUSB 2.0","Accelerometer, proximity",,,,,,,,"Black","HSDPA 850 / 1900 - SIM 1 or SIM 2","HSPA 21.1/5.76 Mbps","Android 4.2 (Jelly Bean)","Mediatek MT6572 (28 nm)","Dual-core 1.2 GHz Cortex-A7","Mali-400","512 MB, 256 MB RAM","5 MP","720p@30fps",,"LED flash, panorama",,,,,,,,,,,,,,,,,,,"1.3 MP",,,,,,,,,,,"Removable Li-Ion 1650 mAh battery",,,,,,,,,"Up to 16 h (2G) / Up to 9 h (3G)","Up to 640 h (2G) / Up to 420 h (3G)"
"NIU","Niutek 4.0D","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Class 12","Class 12","2013, December","Available. Released 2014, January","127 x 62.9 x 9.9 mm (5.0 x 2.48 x 0.39 in)","131 g (4.62 oz)","Dual SIM (Mini-SIM)","TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm (~57.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,"Yes",,"Yes","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","3.0, A2DP","Yes, with A-GPS","Stereo FM radio","microUSB 2.0","Accelerometer, proximity",,,,,,,,"Black, Blue, Green, White, Yellow","HSDPA 850 / 1900 - SIM 1 or SIM 2","HSPA 21.1/5.76 Mbps","Android 4.2 (Jelly Bean)","Mediatek MT6572 (28 nm)","Dual-core 1.2 GHz Cortex-A7","Mali-400","512 MB, 256 MB RAM","3.15 MP","720p@30fps",,"LED flash",,,,,,,,,,,,,,,,,,,"1.3 MP",,,,,,,,,,,"Removable Li-Ion 1500 mAh battery",,,,,,,,,"Up to 15 h (2G) / Up to 8 h 30 min (3G)","Up to 630 h (2G) / Up to 415 h (3G)"
"NIU","Niutek 3.5D","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Class 12","Class 12","2013, December","Available. Released 2014, January","118 x 62.5 x 13.5 mm (4.65 x 2.46 x 0.53 in)","108 g (3.81 oz)","Dual SIM (Mini-SIM)","TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm (~49.5% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,"Yes",,"Yes","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","3.0, A2DP","Yes, with A-GPS","Stereo FM radio","microUSB 2.0","Accelerometer, proximity",,,,,,,,"Black, Blue, Green, White, Yellow","HSDPA 850 / 1900 - SIM 1 or SIM 2","HSPA 21.1/5.76 Mbps","Android 4.2 (Jelly Bean)","Mediatek MT6572 (28 nm)","Dual-core 1.0 GHz Cortex-A7","Mali-400","512 MB, 256 MB RAM","2 MP","480p@30fps",,"LED flash, panorama, HDR",,,,,,,,,,,,,,,,,,,"VGA",,,,,,,,,,,"Removable Li-Ion 1400 mAh battery",,,,,,,,,"Up to 15 h (2G) / Up to 8 h (3G)","Up to 620 h (2G) / Up to 410 h (3G)"
"NIU","GO 20","GSM","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Up to 48 kbps","No","2013, November. Released 2013, November","Discontinued","101 x 43.8 x 14 mm (3.98 x 1.72 x 0.55 in)","60 g (2.12 oz)","Dual SIM (Mini-SIM)","TFT, 65K colors","1.8 inches, 10.2 cm (~23.0% screen-to-body ratio)","128 x 160 pixels (~114 ppi density)",,"microSD, up to 32 GB (dedicated slot)","Yes","Yes","Yes",,"No","No","2.1","No","Stereo FM radio","Proprietary","V1","SMS, MMS, IM",,,,"Yes","No","Whatsapp messenger  Video/music player  Organizer  Predictive text input","Black, White, Silver, Purple, Blue, Red",,,,,,,"32 Mbit + 32 Mbit","VGA",,,,"Flashlight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Removable Li-Ion 500 mAh battery",,,,,"No",,,,"Up to 6 h","Up to 200 h"
"NIU","Niutek 3.5B","GSM","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Up to 48 kbps","Class 10","2013, March. Released 2013, July","Discontinued","113.6 x 62 x 13.8 mm (4.47 x 2.44 x 0.54 in)","92 g without battery (3.25 oz)","Dual SIM (Mini-SIM)","TFT capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm (~51.8% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,"Yes",,"Yes","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","3.0","A-GPS only","Stereo FM radio, recording","microUSB 2.0","Accelerometer",,,,,,,"Analog TV","Black, White",,,"Android 2.3 (Gingerbread)","Spreadtrum SC6820","1.0 GHz Cortex-A5","Mali-400","512 MB, 256 MB RAM","3.15 MP","@30fps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Removable Li-Ion 1300 mAh battery",,,,,"No",,,,"Up to 17 h","Up to 850 h"
"NIU","LIV 10","GSM","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3","Up to 48 kbps","No","2013, March. Released 2013, May","Discontinued","102 x 58 x 13.3 mm (4.02 x 2.28 x 0.52 in)","73 g without battery (2.57 oz)","Triple SIM (Mini-SIM)","TFT, 65K colors","1.8 inches, 10.2 cm (~17.2% screen-to-body ratio)","160 x 128 pixels (~114 ppi density)",,"microSD, up to 32 GB (dedicated slot)","Yes","Yes","Yes",,"Yes","No","2.1, A2DP","No","Stereo FM radio","microUSB","V1","SMS",,,,"Yes","No","Whatsapp messenger  Video/music player  Organizer","Black, White, Blue, red",,,,,,,"32 Mbit + 16 Mbit","VGA","Yes",,"LED flash","Flashlight",,,,,,,,,,,,,,,,,,,,,,,,,,,"QWERTY",,"Removable Li-Ion 860 mAh battery",,,,,"No",,,,"Up to 7 h","Up to 660 h"
"NIU","GO 50","GSM","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Up to 48 kbps","No","2013, March. Released 2013, June","Discontinued","108 x 46 x 13.7 mm (4.25 x 1.81 x 0.54 in)","57 g without battery (2.01 oz)","Dual SIM (Mini-SIM)","TFT, 65K colors","2.0 inches, 12.6 cm (~25.3% screen-to-body ratio)","176 x 220 pixels (~141 ppi density)",,"microSD, up to 32 GB (dedicated slot)","Yes","Yes","Yes",,"Yes","No","2.1","No","Stereo FM radio","microUSB","V1","SMS",,,,"Yes","No","Whatsapp messenger  Video/music player  Organizer","Blue, Black, White, Red, Silver, Dark Grey",,,,,,,"32 Mbit + 32 Mbit","VGA","Yes",,,"Flashlight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Removable Li-Ion 800 mAh battery",,,,,"No",,,,"Up to 6 h","Up to 200 h"
"NIU","Niutek 3G 3.5 N209","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Yes","Up to 60 kbps","2012, June. Released 2012, November","Discontinued","117 x 63 x 12 mm (4.61 x 2.48 x 0.47 in)","71 g without battery (2.50 oz)","Dual SIM (Mini-SIM)","TFT capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm (~49.5% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,"Yes",,"Yes","Wi-Fi 802.11 b/g, hotspot","2.1","Yes","Stereo FM radio","microUSB","Accelerometer, proximity",,,,,,,"Analog TV  MP4/WMV/H.264 player  MP3/WAV/eAAC+ player  Photo/video editor  Document viewer","Black, White","HSDPA 850 / 1900 - SIM 1 only","HSPA 14.4/5.76 Mbps","Android 4.0 (Ice Cream Sandwich)","Mediatek MT6575 (40 nm)","1.0 GHz Cortex-A9","PowerVR SGX531","256 MB, 512 MB RAM","3.2 MP","Yes","About 100 EUR","LED flash",,,,,,,,,,,,,,,,,,,"VGA",,,,,,,,,,,"Removable Li-Ion 1200 mAh battery",,,,,,,,,"Up to 15 h (2G) / Up to 6 h 30 min (3G)","Up to 713 h (2G) / Up to 428 h (3G)"
"NIU","Niutek 3G 4.0 N309","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Yes","Up to 60 kbps","2012, June. Released 2012, August","Discontinued","123.5 x 65 x 10.5 mm (4.86 x 2.56 x 0.41 in)","71 g without battery (2.50 oz)","Dual SIM (Mini-SIM)","TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~56.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,"Yes",,"Yes","Wi-Fi 802.11 b/g, hotspot","2.1","Yes","Stereo FM radio","microUSB","Accelerometer, proximity",,,,,,,"MP4/WMV/H.264 player  MP3/WAV/eAAC+ player  Organizer  Photo/video editor  Document viewer  Voice memo/dial  Predictive text input","Black, White","HSDPA 850 / 1900 - SIM 1 only","HSPA 14.4/5.76 Mbps","Android 2.3 (Gingerbread)","Mediatek MT6575 (40 nm)","1.0 GHz Cortex-A9","PowerVR SGX531","512 MB, 512 MB RAM","5 MP, AF","Yes","About 150 EUR","LED flash",,,,,,,,,,,,,,,,,,,"VGA",,,,,,,,,,,"Removable Li-Ion 1650 mAh battery",,,,,,,,,"Up to 16 h (2G) / Up to 7 h (3G)","Up to 713 h (2G) / Up to 428 h (3G)"
"NIU","Pana 3G TV N206","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Yes","Up to 60 kbps","2012, June. Released 2012, September","Discontinued","103.5 x 56.1 x 14 mm (4.07 x 2.21 x 0.55 in)","71 g without battery (2.50 oz)","Dual SIM (Mini-SIM)","TFT, 256K colors","2.0 inches, 12.6 cm (~21.7% screen-to-body ratio)","220 x 176 pixels (~141 ppi density)",,"microSD, up to 32 GB (dedicated slot)","Yes","Yes","Yes",,"Yes","No","2.1","No","Stereo FM radio","microUSB","V1","SMS, MMS, Email, IM",,,,"Yes","Yes","Analog TV  Facebook, MSN, Twitter, Yahoo  Video player  Music player  Organizer  Voice memo  Predictive text input","Blue, Red, Silver, White","HSDPA 850 / 1900 - SIM 1 only","HSPA 14.4/5.76 Mbps",,,,,"128 MB + 32 MB","2 MP","Yes",,"LED flash",,,,,,,,,,,,,,,,,,,"VGA",,,,,,,,,"QWERTY",,"Removable Li-Ion 800 mAh battery",,,,,,,,,"Up to 6 h 30 min (2G) / Up to 4 h 30 min (3G)","Up to 312 h (2G) / Up to 211 h (3G)"
